Domain;Area Code (M49);Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Area Harvested Value;Yield;Production;Flag;Flag Description
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1961;1961;ha;187648;187648;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1962;1962;ha;193080;193080;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1963;1963;ha;229051;229051;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1964;1964;ha;227182;227182;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1965;1965;ha;220080;220080;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1966;1966;ha;229902;229902;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1967;1967;ha;231700;231700;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1968;1968;ha;238396;238396;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1969;1969;ha;273836;273836;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1970;1970;ha;290229;290229;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1971;1971;ha;294700;294700;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1972;1972;ha;296112;296112;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1973;1973;ha;317855;317855;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1974;1974;ha;319256;319256;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1975;1975;ha;315472;315472;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1976;1976;ha;324507;324507;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1977;1977;ha;328477;328477;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1978;1978;ha;355485;355485;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1979;1979;ha;373205;373205;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1980;1980;ha;373912;373912;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1981;1981;ha;362202;362202;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1982;1982;ha;339802;339802;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1983;1983;ha;340155;340155;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1984;1984;ha;328579;328579;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1985;1985;ha;334079;334079;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1986;1986;ha;332685;332685;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1987;1987;ha;291496;291496;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1988;1988;ha;292384;292384;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1989;1989;ha;291876;291876;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1990;1990;ha;292424;292424;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1991;1991;ha;296905;296905;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1992;1992;ha;274972;274972;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1993;1993;ha;265348;265348;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1994;1994;ha;252746;252746;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1995;1995;ha;229099;229099;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1996;1996;ha;259648;259648;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1997;1997;ha;260641;260641;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1998;1998;ha;265622;265622;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;1999;1999;ha;243886;243886;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;2000;2000;ha;223762;223762;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;2001;2001;ha;217473;217473;;;A;Official figure
Crops and livestock products;40;Austria;5312;Area harvested;115;Barley;2002;2002;ha;200948;200948;;;A;Official figure
